+---------------------------------------------------------------------------------------------------------------------------------------+-----------+-----------+--------------------------+--------------------------+---------------------------------------------+
| File Path                                                                                                                             | File Size | File Mode |      File Modified       |       File Created       |                 File Header                 |
+---------------------------------------------------------------------------------------------------------------------------------------+-----------+-----------+--------------------------+--------------------------+---------------------------------------------+
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\--- Ping Market Scales (ePLUM) (1).aml                                 | 5683      |   33206   | Mon May 22 12:50:48 2017 | Tue Oct 12 11:44:14 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\--- Ping Market Scales (ePLUM).aml                                     | 5683      |   33206   | Mon May 22 12:44:33 2017 | Tue Oct 12 11:44:14 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE Label File Import (1).aml                                          | 4480      |   33206   | Mon May 22 12:51:47 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE Label File Import (2).aml                                          | 4550      |   33206   | Tue May 25 11:50:16 2021 | Tue Oct 12 11:44:15 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE Label File Import.aml                                              | 4480      |   33206   | Mon May 22 12:47:20 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE cost update (1).aml                                                | 2415      |   33206   | Mon May 22 12:45:28 2017 | Tue Oct 12 11:44:14 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE cost update (2).aml                                                | 2415      |   33206   | Mon May 22 12:52:41 2017 | Tue Oct 12 11:44:14 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE cost update (3).aml                                                | 2415      |   33206   | Mon May 22 12:55:50 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE cost update (4).aml                                                | 2590      |   33206   | Mon Aug 24 15:47:30 2020 | Tue Oct 12 11:44:15 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\ACE cost update.aml                                                    | 2415      |   33206   | Mon May 22 12:44:22 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\AWG Ad Import (1).aml                                                  | 2546      |   33206   | Wed Jul 26 08:41:35 2017 | Tue Oct 12 11:44:15 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\AWG Ad Import.aml                                                      | 2513      |   33206   | Mon May 22 12:48:13 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\AWG Statement File Import.aml                                          | 3131      |   33206   | Mon Feb 15 09:44:11 2021 | Tue Oct 12 11:44:15 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\AWG cost update (1).aml                                                | 4230      |   33206   | Tue May  5 11:56:05 2020 | Tue Oct 12 11:44:15 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\AWG cost update.aml                                                    | 4171      |   33206   | Mon May 22 12:52:41 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\AWG_ACE Import Auth Changes _ CIGS (1).aml                             | 5469      |   33206   | Mon Sep 14 08:23:54 2020 | Tue Oct 12 11:44:15 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\AWG_ACE Import Auth Changes _ CIGS.aml                                 | 4709      |   33206   | Mon May 22 12:53:38 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\About - Sample Tasks.aml                                               | 3130      |   33206   | Thu Jun 25 16:59:10 2015 | Tue Oct 12 11:44:14 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\Ace Import (1).aml                                                     | 2041      |   33206   | Mon May 22 12:50:49 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\Ace Import (2).aml                                                     | 2157      |   33206   | Mon Mar 26 10:05:11 2018 | Tue Oct 12 11:44:15 2021 | b'3c414d5441534b3e0d0a3c414d5441534b484541' |
| \\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 10\Tasks\Ace Import.aml                                                         | 2041      |   33206   | Mon May 22 12:46:21 2017 | Tue Oct 12 11:44:15 2021 | b'efbbbf3c414d5441534b3e0d0a3c414d5441534b' |
