File Path,File Size,File Mode,File Modified,File Created,File Header
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\ACE Label File Import (2).aml,4421,33206,Thu Oct  3 11:29:56 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\ACE cost update (4).aml,2114,33206,Thu Oct  3 11:29:43 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\AWG Ad Import (1).aml,2231,33206,Thu Oct  3 11:29:57 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\AWG Statement File Import.aml,2823,33206,Thu Oct  3 11:30:01 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\AWG cost update (1).aml,3911,33206,Thu Oct  3 11:29:57 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\AWG_ACE Import Auth Changes _ CIGS (1).aml,4513,33206,Thu Oct  3 11:29:57 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\About - Sample Tasks.aml,3338,33206,Thu Oct  3 11:29:22 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Ace Import (2).aml,1838,33206,Thu Oct  3 11:29:56 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Acronis Watchdog.aml,1743,33206,Thu Oct  3 11:29:38 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
\\alpha\profiles\jwren\My Documents\AutoMate\AutoMate 11\Tasks\Array - Simple Array.aml,5161,33206,Thu Oct  3 11:29:23 2019,Tue Oct 12 11:44:38 2021,b'3c3f786d6c2076657273696f6e3d22312e302220'
